ID,HW_minutes,Midnight_deadline,Fall_semester,Female,Section,Year_in_school,GPA,ACT,Major_BA,Major_Finance,Major_Accounting,Major_Marketing,Major_Management,Major_Sport,Q1_HW_effective,Q2_deadline_effect,Q3_deadline_stress,Q4_average_time,Q5_preferred_time,Q6_extensions,Q7_late_turnins,Grade_course,Grade_HW
1017,1033,0,1,0,22,3,3.96,N/A,0,1,0,0,0,0,5,5,3,120,"4,5",0,0,0.926797853,0.935670732
1018,512,0,0,0,11,2,2.404,18,0,0,0,1,0,0,4,3,3,120,4,1,1,80.2,70.8
1019,976,0,1,0,22,2,2.85,22,0,0,1,0,0,0,4,2,2,105,4,3.5,2,0.895152057,0.8225
1020,550,0,0,0,11,2,3.176,31,0,1,0,0,0,0,1,2,3,60,4,0,1,92.9,87.4
1021,980,0,0,1,11,3,3.465,25,0,0,0,1,0,0,3,2,3,90,4,0,0,93.5,92.6
1022,550,0,1,1,22,2,3.93,24,0,0,1,0,0,0,4,2,2,90,4,0,2,0.909749553,0.859268293
1023,550,1,1,0,21,2,3.67,31,0,0,0,0,0,0,,,,,,,,0.892862254,0.98054878
1024,800,0,1,1,22,4,3.52,30,1,0,0,0,0,0,5,3,2,60,2,0,0,0.948908766,0.883780488
1025,506,0,1,0,22,2,2.74,21,0,1,0,0,0,0,4,2,3,90,5,1,1,0.841627907,0.617195122
1026,844,1,0,0,12,2,4,29,0,0,1,0,0,0,5,3,3,75,2,0,0,98.7,97.6
1027,376,1,0,0,12,2,4,33,0,1,0,0,0,0,4,4,3,45,2,1,0,98.5,95.4
1028,911,1,0,0,12,2,4,32,0,0,0,1,0,0,4,3,2,60,2,1,1,94.1,87.4
1029,725,0,1,0,22,4,3.86,30,0,1,0,0,0,0,5,4,5,60,2,1,0,0.911627907,0.843597561
1030,599,0,1,0,22,3,4,32,0,0,1,0,0,0,4,2,3,120,4,0,1,0.993559928,0.947560976
1031,1159,0,1,0,22,3,3.81,28,0,1,0,0,0,0,4,2,3,90,5,1.5,1,0.954168157,0.949695122
1032,661,0,1,1,22,2,3.07,20,0,0,0,0,0,0,5,1,2,40,4,2,2,0.747745975,0.576890244
1033,749,1,1,1,21,3,3.95,28,0,0,0,0,1,0,3,3,3,30,2,0,0,0.951806798,0.876585366
1034,1281,0,1,0,22,2,3.59,N/A,0,0,0,1,0,0,5,2,2,150,2,0,0,0.935599284,0.93902439
1035,1079,0,1,0,22,2,3.48,N/A,0,0,0,1,0,0,5,3,3,90,4,0,0,0.930661896,0.881036585
1036,1201,1,1,1,21,2,3.59,26,0,0,0,1,0,0,5,3,3,90,3,0,1,0.857906977,0.852560976
1037,869,1,1,0,21,2,3.57,17,0,0,0,0,0,1,4,5,5,N/A,2,1,0,0.877155635,0.901402439
1038,865,0,1,1,22,4,3.17,25,0,0,1,0,0,0,5,3,5,90,4,0,0,0.991305903,0.982560976
1039,853,1,0,0,12,3,2.947,19,0,0,0,0,1,0,4,5,5,90,2,0,0,93.7,87.4
1040,640,0,1,0,22,2,2.78,19,0,0,0,1,0,0,1,4,2,150,4,2.5,0,0.898407871,0.715426829
1041,612,1,1,1,21,2,3.49,22,0,0,1,0,0,0,3,5,3,90,2,1,0,0.898586762,0.867743902
1042,208,0,1,0,22,3,3.28,N/A,0,0,0,0,1,0,4,3,3,40,4,0,0,0.795796064,0.469329268
1043,1513,1,0,1,12,1,4,21,0,0,0,1,0,0,5,4,2,75,4,0,0,96.6,94.4
1044,666,1,0,1,12,2,3.875,32,0,0,1,0,0,0,4,4,3,60,4,0,0,98,95.7
1045,1752,1,0,0,12,2,3.893,22,1,0,0,0,0,0,4,3,3,80,6,0,0,98,97
1046,1167,1,1,0,21,1,3.79,33,0,0,0,0,0,1,4,4,3,90,4,0,0,0.917155635,0.839573171
1047,3255,0,0,0,11,2,3.28,N/A,0,0,0,1,0,0,2,4,1,60,2,0,0,87.6,61.7
1048,871,1,0,0,12,3,2.735,N/A,0,0,0,1,0,0,4,3,2,150,4,0,1,79.5,74.4
1049,1105,0,0,1,11,3,3.551,N/A,0,0,0,1,0,0,5,2,2,N/A,2,0,0,90.4,87.2
1050,972,1,0,1,12,3,3.261,24,0,1,0,0,0,0,4,3,3,60,5,0,0,94.4,91.4
1051,1043,1,1,1,21,2,4,32,0,0,1,0,0,0,4,3,4,90,4,0,0,0.996708408,0.975060976
1052,1031,0,0,0,11,2,3.659,18,0,0,0,0,1,0,5,5,3,90,4,1,1,90,87.4
1053,1017,0,0,1,11,3,3.125,25,0,0,0,0,1,0,4,2,2,45,2,3,3,76.4,63
1054,718,1,1,0,21,3,3.81,25,0,1,0,0,0,0,5,4,3,45,2,0,1,0.794758497,0.769939024
1055,892,1,1,0,21,1,1.3,18,1,0,0,0,0,0,5,5,2,120,5,"""Decent amount""",N/A,0.597495528,0.286585366
1056,1192,1,0,0,12,2,3.85,N/A,0,0,0,0,0,0,4,3,3,150,2,0,0,98.1,96.5
1057,914,0,0,0,11,3,3.217,27,0,0,1,0,0,0,4,2,4,90,4,1.5,0,101.8,91
1058,1818,0,1,1,22,2,4,22,0,0,1,0,0,0,2,5,2,120,4,0,0,0.96234347,0.897560976
1059,499,0,1,0,22,3,3.17,N/A,0,0,0,0,1,0,5,2,2,60,2,1.5,2.5,0.707710197,0.683597561
1060,1809,0,0,0,11,3,3.743,24,0,0,0,0,1,0,5,4,3,90,2,0,1.5,93.1,88.7
1061,1484,1,0,0,12,2,2.97,20,0,0,0,0,0,0,5,3,3,60,4,0,0,103.4,97.5
1062,1561,1,1,1,21,4,3.28,25,0,0,0,1,0,0,5,5,3,180,3,1,1,0.847567084,0.885609756
1063,1530,1,0,1,12,1,3.483,23,0,1,0,0,0,0,5,5,4,30,2 or 4,1,0,92,85.2
1064,605,1,0,1,12,4,3.833,27,0,0,1,0,0,0,4,4,2,120,2,1,0,92.4,80.7
1065,2551,1,0,0,12,1,3.483,24,0,1,0,0,0,0,5,5,2,60,4,1,1.5,93.7,85.3
1066,1247,1,0,0,12,2,3.107,24,1,0,0,0,0,0,4,3,3,60,4,0,3,91.4,79.6
1067,891,1,1,1,21,4,2.99,N/A,0,1,0,0,0,0,4,3,2,180,4,3,NULL,0.70216458,0.560731707
1068,686,1,0,1,12,2,3.184,22,0,0,0,1,0,0,4,4,3,120,2,0,1,87.5,71
1069,720,0,0,0,11,3,3.19,23,0,0,0,1,0,0,3,2,2,90,2,3,1,81.4,72.1
1070,638,1,0,0,12,3,3.873,N/A,0,0,0,0,1,0,4,5,4,80,2,0,2,94.2,90.9
1071,858,0,1,0,22,2,2.33,28,0,0,1,0,0,0,4,3,3,105,4,1.5,1,0.740500894,0.863170732
1072,797,0,0,0,11,3,3.576,25,0,0,0,0,0,0,4,5,3,120,2,0,0,92.8,96.8
1073,515,1,0,0,12,1,4,31,0,0,1,0,0,0,4,5,3,45,2,0,0,95.7,89.7
1074,461,1,1,0,21,2,1.96,16,0,0,0,0,0,1,3,5,2,60,2,0,4,0.736815742,0.514207317
1075,1882,0,0,0,11,1,4,23,0,0,1,0,0,0,4,5,3,180,1,0,0,105,95.6
1076,2460,0,0,0,11,2,3.797,25,0,0,0,1,0,0,5,4,1,120,1,0,3.5,91.5,88.9
1077,1157,1,1,1,21,2,4,N/A,0,0,1,0,0,0,4,5,3,30,4,0,1,0.917978533,0.941463415
1078,519,1,0,0,12,4,3.219,29,0,0,0,0,0,0,5,4,3,38,4,0,0,81.5,69.7
1079,875,0,0,0,11,2,3.154,N/A,0,0,0,1,0,0,5,1,3,"""Varies Wildly""",4,0,0,77.3,83.7
1080,644,0,0,0,11,4,2.94,19,0,0,0,0,1,0,3,3,2,60,2 or 4,0,0,71.2,82.2
1081,899,1,1,0,21,3,3.36,22,0,0,0,0,1,0,2,3,2,150,4,1,0,0.899499106,0.942195122
1082,1082,0,0,0,11,2,2.818,17,0,0,0,1,0,0,4,5,3,40,5,0,0,90.9,90.1
1083,1138,1,1,0,21,2,3.41,31,0,0,0,1,0,0,4,5,3,150,4,0,2,0.88157424,0.797256098
1084,629,0,1,0,22,2,1.98,24,0,0,0,0,1,0,5,3,2,90,4,0,4,0.519123435,0.068231707
1085,890,1,1,0,21,2,3.16,N/A,0,0,0,0,1,0,4,3,3,60,5,0,1,0.830035778,0.690182927
