Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000025912	Mybl1	1	-	9737640	9770434	32.179564	4.411488	9.397558
ENSMUSG00000025909	Sntg1	1	-	8431699	9370103	0.000000	0.000000	0.000000
ENSMUSG00000102647	Gm38024	1	-	8521184	8523715	0.000000	0.000000	0.000000
ENSMUSG00000086235	Gm16284	1	-	8538650	8539049	1.230000	0.149513	0.318499
ENSMUSG00000102253	Gm38259	1	-	8598004	8601537	0.000000	0.000000	0.000000
ENSMUSG00002074990	Gm54704	1	-	8658839	8658948	0.000000	0.000000	0.000000
ENSMUSG00000103884	Gm37005	1	-	8713920	8715083	0.000000	0.000000	0.000000
ENSMUSG00000084353	Gm15452	1	-	8862147	8862386	29.370833	3.570178	7.605361
ENSMUSG00000103933	Gm36964	1	+	8886066	8886263	91.936001	11.175301	23.806149
ENSMUSG00002075967	Gm54706	1	+	8886362	8886471	34.218182	4.159399	8.860546
ENSMUSG00000086195	Gm6152	1	-	8926152	8926491	0.000000	0.000000	0.000000
ENSMUSG00000104504	Gm7445	1	+	8926987	8927326	0.000000	0.000000	0.000000
ENSMUSG00000066693	Gm7493	1	-	9033220	9033845	1.175719	0.142915	0.304444
ENSMUSG00000102316	Gm37629	1	-	9261292	9262341	0.000000	0.000000	0.000000
ENSMUSG00000103819	Gm38008	1	-	9328842	9329359	0.000000	0.000000	0.000000
ENSMUSG00000102871	Gm37143	1	+	9357147	9360405	0.000000	0.000000	0.000000
ENSMUSG00000045210	Vcpip1	1	-	9788847	9818607	39.956920	4.856972	10.346550
ENSMUSG00000097893	1700034P13Rik	1	+	9817873	9862152	0.225466	0.121737	0.259330
ENSMUSG00000100648	Gm28659	1	+	10938912	10939670	0.974967	0.118512	0.252461
ENSMUSG00000042501	Cpa6	1	-	10394945	10790170	0.068860	0.029816	0.063516
ENSMUSG00000103810	Gm38005	1	-	10519470	10522214	0.000000	0.000000	0.000000
ENSMUSG00000083422	Gm15604	1	-	10624323	10625778	0.000000	0.000000	0.000000
ENSMUSG00000119312	Gm25253	1	-	10625779	10625885	0.000000	0.000000	0.000000
ENSMUSG00000081417	Gm15603	1	+	10765348	10765839	1.804878	0.219392	0.467360
ENSMUSG00000101610	Gm7560	1	+	12191184	12192056	0.632302	0.076860	0.163730
ENSMUSG00000048960	Prex2	1	+	11063689	11373905	13.415785	3.688462	7.857334
ENSMUSG00000077318	Gm24173	1	-	11204335	11204462	0.000000	0.000000	0.000000
ENSMUSG00000101827	Gm28686	1	-	11293790	11294398	0.000000	0.000000	0.000000
ENSMUSG00000016918	Sulf1	1	+	12762501	12931416	7.534537	3.699532	7.880917
ENSMUSG00000005886	Ncoa2	1	-	13209329	13444307	16.787304	4.212172	8.972965
ENSMUSG00000103506	Gm38376	1	-	13247686	13249938	0.000000	0.000000	0.000000
ENSMUSG00000103495	Gm37409	1	-	13305033	13306658	0.000000	0.000000	0.000000
ENSMUSG00002076346	Gm55160	1	+	13332422	13332503	0.000000	0.000000	0.000000
ENSMUSG00000102639	Gm38223	1	-	13360036	13360730	0.000000	0.000000	0.000000
ENSMUSG00000104170	Gm37702	1	-	13367260	13369131	0.000000	0.000000	0.000000
ENSMUSG00000087782	Gm23169	1	-	13404722	13404833	0.000000	0.000000	0.000000
ENSMUSG00000103085	Gm38120	1	-	13413787	13418428	0.000000	0.000000	0.000000
ENSMUSG00000102664	Gm38380	1	-	13424707	13426954	0.000000	0.000000	0.000000
ENSMUSG00000025915	Sgk3	1	+	9868332	9971070	0.392424	0.450537	0.959756
ENSMUSG00000046334	Gm6195	1	-	9872422	9872778	2.296919	0.279202	0.594770
ENSMUSG00002075801	Gm54812	1	-	9904723	9904827	0.000000	0.000000	0.000000
ENSMUSG00000098234	Snhg6	1	-	9926809	10014398	49.544033	43.295385	92.229856
ENSMUSG00000046101	Mcmdc2	1	+	9978863	10012310	0.000000	0.000000	0.000000
ENSMUSG00000093178	Snord87	1	-	10012688	10012774	0.085051	0.010338	0.022023
ENSMUSG00000099032	Tcf24	1	-	10030388	10038157	7.447894	0.917542	1.954590
ENSMUSG00000104025	E330040D14Rik	1	+	10037539	10038912	0.294102	0.035750	0.076156
ENSMUSG00000025916	Ppp1r42	1	-	10038849	10079361	0.000000	0.000000	0.000000
ENSMUSG00000087199	Gm15818	1	+	10052612	10062591	0.000000	0.000000	0.000000
ENSMUSG00000121270	Gm57177	1	-	10060094	10062168	0.000000	0.000000	0.000000
ENSMUSG00000119658	Gm24674	1	-	10080039	10080142	0.000000	0.000000	0.000000
ENSMUSG00000025917	Cops5	1	-	10094826	10108393	197.172024	53.757752	114.517279
ENSMUSG00000056763	Cspp1	1	+	10108212	10206993	4.426408	3.689704	7.859980
ENSMUSG00000102356	1700047N06Rik	1	-	10127250	10128169	0.000000	0.000000	0.000000
ENSMUSG00000067851	Arfgef1	1	-	10207796	10302895	56.819870	11.351041	24.180520
ENSMUSG00002076532	Gm54899	1	+	10236764	10237003	0.000000	0.000000	0.000000
ENSMUSG00000102556	Gm37569	1	-	10267306	10269027	0.000000	0.000000	0.000000
ENSMUSG00000025935	Tram1	1	-	13634922	13660134	194.518034	25.485203	54.289773
ENSMUSG00000025937	Lactb2	1	-	13693554	13730770	60.574718	7.578885	16.144895
ENSMUSG00000102982	Gm38319	1	-	13711707	13712972	1.939179	0.235717	0.502136
ENSMUSG00000097711	Gm5523	1	-	13856107	13857103	3.981279	0.483945	1.030923
ENSMUSG00000081201	Smt3h2-ps4	1	-	14910093	14910380	95.200460	11.572113	24.651457
ENSMUSG00000082193	Rpl5-ps1	1	+	14935296	14936189	118.001110	14.343651	30.555517
ENSMUSG00000073737	Gm10566	1	-	15339026	15340021	10.666199	1.296532	2.761934
ENSMUSG00000025925	Terf1	1	+	15875870	15914276	59.941190	15.487159	32.991471
ENSMUSG00000100652	Gm7634	1	+	16123559	16124111	1.793852	0.218052	0.464505
ENSMUSG00000043716	Rpl7	1	-	16171519	16174886	3572.890931	1001.456899	2133.350350
ENSMUSG00000025921	Rdh10	1	+	16175998	16203958	23.011719	3.256654	6.937477
ENSMUSG00000100868	Gm28095	1	+	16298730	16314286	0.000000	0.000000	0.000000
ENSMUSG00000025920	Stau2	1	-	16298898	16590336	24.521257	9.856915	20.997661
ENSMUSG00000089982	Gm7568	1	+	16323816	16338145	0.000000	0.000000	0.000000
ENSMUSG00000025939	Ube2w	1	-	16611014	16689713	11.127603	13.212373	28.145615
ENSMUSG00000102457	Gm38342	1	+	16688784	16691763	0.000000	0.000000	0.000000
ENSMUSG00000079658	Eloc	1	-	16711949	16727266	372.189795	86.932464	185.187603
ENSMUSG00000097744	D030040B21Rik	1	+	16727776	16732502	0.000000	0.000000	0.000000
ENSMUSG00000100959	Idi1-ps5	1	-	16733204	16733886	0.000000	0.000000	0.000000
ENSMUSG00000025940	Tmem70	1	+	16735431	16748499	208.240106	27.053675	57.631003
ENSMUSG00000025779	Ly96	1	+	16758275	16779835	10.237022	2.008567	4.278743
ENSMUSG00000091020	Gm5828	1	-	16838503	16840362	3.776344	0.459034	0.977856
ENSMUSG00000101589	Rbm6-ps1	1	-	17467636	17470505	0.522648	0.063531	0.135336
ENSMUSG00000067780	Pi15	1	+	17672125	17701163	3.748664	0.455670	0.970689
ENSMUSG00000100053	Gm28154	1	-	17685308	17711305	0.000000	0.000000	0.000000
ENSMUSG00000089787	Gm15825	1	-	19133524	19175064	0.000000	0.000000	0.000000
ENSMUSG00000042596	Tfap2d	1	+	19173246	19236570	0.000000	0.000000	0.000000
ENSMUSG00000100720	Gm10075	1	-	19223646	19224190	4.028551	0.489691	1.043164
ENSMUSG00000100204	Gm4849	1	+	19401163	19403408	0.195904	0.023813	0.050728
ENSMUSG00000043760	Pkhd1	1	-	20128003	20688288	0.049232	0.009614	0.020479
ENSMUSG00000104095	Gm37315	1	-	20132294	20135772	0.000000	0.000000	0.000000
ENSMUSG00000089914	4930486I03Rik	1	+	20426676	20462524	0.000000	0.000000	0.000000
ENSMUSG00000090142	Gm15795	1	-	20514482	20515034	8.025316	0.975519	2.078096
ENSMUSG00000070175	Gm24162	1	-	20515035	20515136	0.000000	0.000000	0.000000
ENSMUSG00000041859	Mcm3	1	-	20873192	20890536	586.787135	88.711575	188.977549
ENSMUSG00000097934	6720483E21Rik	1	-	20958874	20960697	0.000000	0.000000	0.000000
ENSMUSG00000025931	Paqr8	1	+	20960830	21009874	1.221739	0.544718	1.160384
ENSMUSG00000077314	Gm24171	1	-	20985634	20985764	0.000000	0.000000	0.000000
ENSMUSG00000041809	Efhc1	1	+	21021850	21061065	11.626359	1.684182	3.587723
ENSMUSG00000041779	Tram2	1	-	21066523	21149453	30.909248	3.854988	8.212075
ENSMUSG00000100819	Gm2693	1	+	21249212	21257651	1.322242	0.160725	0.342385
ENSMUSG00000025933	Tmem14a	1	+	21288799	21300391	15.797187	2.215381	4.719308
ENSMUSG00000102633	Gm38224	1	+	21304946	21307045	0.000000	0.000000	0.000000
ENSMUSG00000025934	Gsta3	1	+	21310813	21335885	0.161372	0.058483	0.124584
ENSMUSG00000099343	Gm28836	1	-	21320583	21341817	0.000000	0.000000	0.000000
ENSMUSG00000096375	Gm7094	1	+	21342627	21343130	0.000000	0.000000	0.000000
ENSMUSG00000067750	Khdc1a	1	+	21419865	21422424	0.000000	0.000000	0.000000
ENSMUSG00000028033	Kcnq5	1	-	21468627	22032166	2.338048	1.038863	2.213034
ENSMUSG00000104138	Gm36949	1	-	21524915	21527241	0.000000	0.000000	0.000000
ENSMUSG00000082935	Gm7658	1	-	21582157	21583280	17.717082	2.153604	4.587708
ENSMUSG00000103748	Gm38243	1	-	21909172	21910738	0.000000	0.000000	0.000000
ENSMUSG00000097970	Gm27028	1	+	23330618	23331016	1.037594	0.126125	0.268677
ENSMUSG00000065567	Mir30c-2	1	+	23330782	23330865	0.000000	0.000000	0.000000
ENSMUSG00000026158	Ogfrl1	1	-	23405505	23436853	17.974967	3.664923	7.807191
ENSMUSG00000026156	B3gat2	1	+	23800834	23888239	0.425272	0.056703	0.120792
ENSMUSG00000026155	Smap1	1	-	23883927	23961398	61.807952	27.839165	59.304292
ENSMUSG00000026154	Sdhaf4	1	-	24035020	24044737	192.792906	30.075019	64.067213
ENSMUSG00000102495	Gm26524	1	+	24044586	24044975	0.000000	0.000000	0.000000
ENSMUSG00000026153	Fam135a	1	-	24050174	24139422	34.550881	6.449676	13.739401
ENSMUSG00000099997	Tubb4b-ps2	1	-	24633168	24634504	6.794330	0.825886	1.759342
ENSMUSG00000073725	Lmbrd1	1	+	24717711	24805382	20.539929	7.036497	14.989476
ENSMUSG00000100131	Gm28439	1	-	24650616	24651491	188.106610	22.865341	48.708819
ENSMUSG00000067736	Gm10222	1	-	24651488	24651781	214.927628	26.125576	55.653924
ENSMUSG00000101939	Gm28438	1	-	24651856	24652200	300.127038	36.482009	77.715682
ENSMUSG00000101111	Gm28437	1	-	24652270	24653052	1781.515326	216.552491	461.310251
ENSMUSG00000100862	Gm10925	1	-	24653055	24653732	1987.786504	241.625830	514.722651
ENSMUSG00000102070	Gm28661	1	-	24653966	24654646	3807.317548	462.799331	985.876791
ENSMUSG00000101249	Gm29216	1	-	24654787	24655278	4946.507114	601.273772	1280.861526
ENSMUSG00000086240	Gm7846	1	-	28619580	28619853	93.119212	11.319127	24.112533
ENSMUSG00000099492	Gm5525	1	-	29523685	29524996	68.115133	8.279750	17.637911
ENSMUSG00000117091	Gm5698	1	-	31016324	31017049	0.695592	0.084553	0.180118
ENSMUSG00000086727	4931428L18Rik	1	-	31036933	31261765	0.000000	0.000000	0.000000
ENSMUSG00000100237	Gm28644	1	+	31081000	31082756	0.000000	0.000000	0.000000
ENSMUSG00002076113	Gm55778	1	-	31161806	31161943	0.000000	0.000000	0.000000
ENSMUSG00000100910	Gm29128	1	+	31175107	31189186	0.000000	0.000000	0.000000
ENSMUSG00000099796	Gm7893	1	+	31203630	31203854	0.000000	0.000000	0.000000
ENSMUSG00000050217	Lgsn	1	+	31215482	31243806	0.000000	0.000000	0.000000
ENSMUSG00000070960	Gm19680	1	+	31654230	31655742	16.168870	1.965411	4.186810
ENSMUSG00000102917	Gm37724	1	+	33104211	33105431	0.050840	0.006180	0.013165
ENSMUSG00000100481	Gm7114	1	+	33139988	33141776	4.908514	0.596656	1.271023
ENSMUSG00000101612	Gm7933	1	+	33410412	33412666	0.393792	0.047867	0.101970
ENSMUSG00000026058	Khdrbs2	1	+	32211795	32697649	0.000000	0.000000	0.000000
ENSMUSG00000064688	Gm25814	1	-	32252214	32252320	0.000000	0.000000	0.000000
ENSMUSG00000103482	Gm37999	1	+	32512838	32514646	0.000000	0.000000	0.000000
ENSMUSG00000104498	Gm37110	1	+	32524396	32526023	0.041046	0.004989	0.010629
ENSMUSG00000104313	Gm37911	1	+	32535525	32537069	0.000000	0.000000	0.000000
ENSMUSG00000102865	Gm9839	1	-	32558644	32560080	0.000000	0.000000	0.000000
ENSMUSG00000102321	Gm37792	1	+	32578109	32581521	0.000000	0.000000	0.000000
ENSMUSG00000091318	Semp2l1	1	-	32582767	32586375	0.000000	0.000000	0.000000
ENSMUSG00000089489	Gm24732	1	-	32607440	32607502	0.000000	0.000000	0.000000
ENSMUSG00000053185	Gm9898	1	-	30757641	30759043	0.000000	0.000000	0.000000
ENSMUSG00000100261	Gm6473	1	+	30808768	30810896	6.500000	0.790109	1.683127
ENSMUSG00000101180	Gm2914	1	-	30833629	30833956	0.000000	0.000000	0.000000
ENSMUSG00000048874	Phf3	1	-	30841420	30913002	51.749417	17.186968	36.612484
ENSMUSG00000103783	Gm37522	1	-	30872629	30875512	0.000000	0.000000	0.000000
ENSMUSG00000104315	Gm37906	1	-	30904585	30907619	0.000000	0.000000	0.000000
ENSMUSG00000026064	Ptp4a1	1	-	30979383	30988390	3.551452	0.909474	1.937405
ENSMUSG00000117310	Ptp4a1	1	-	30979383	30988851	158.779441	21.958721	46.777496
ENSMUSG00000026134	Prim2	1	-	33492891	33708876	79.028040	28.878891	61.519165
ENSMUSG00000101682	Gm29228	1	+	33521182	33521599	3.531100	0.429224	0.914352
ENSMUSG00000102714	Gm37618	1	-	33652839	33655913	0.000000	0.000000	0.000000
ENSMUSG00000102093	Gm17813	1	+	33696862	33697189	0.000000	0.000000	0.000000
ENSMUSG00000103746	1700001G17Rik	1	+	33708900	33710163	3.690665	0.581238	1.238181
ENSMUSG00000121274	Gm57180	1	-	33758492	33759167	2.984782	0.362816	0.772887
ENSMUSG00000004768	Rab23	1	+	33758968	33781645	30.431909	8.988925	19.148629
ENSMUSG00000042215	Bag2	1	-	33784565	33796876	128.310233	26.776471	57.040491
ENSMUSG00000103072	Gm37905	1	+	33787088	33787428	0.000000	0.000000	0.000000
ENSMUSG00000042197	Zfp451	1	-	33800626	33853676	21.743986	8.808915	18.765164
ENSMUSG00000081402	Gm15455	1	-	33875205	33877761	1.194564	0.145205	0.309324
ENSMUSG00000042182	Bend6	1	-	33891133	33946897	2.521148	4.281669	9.121011
ENSMUSG00000104416	Gm37067	1	-	33928571	33930198	0.000000	0.000000	0.000000
ENSMUSG00000042111	Ccdc115	1	-	34475751	34478753	46.755406	8.453516	18.008075
ENSMUSG00000101711	Gm28306	1	-	34478592	34483811	0.000000	0.000000	0.000000
ENSMUSG00000026127	Imp4	1	+	34478932	34488437	35.943763	6.936649	14.776775
ENSMUSG00000026126	Ptpn18	1	+	34498843	34514814	5.022488	5.557766	11.839413
ENSMUSG00000100280	Gm28417	1	-	34507915	34512275	0.811402	0.453937	0.966997
ENSMUSG00000026131	Dst	1	+	33947306	34347742	5.917306	8.061403	17.172777
ENSMUSG00000103596	Gm37354	1	+	33961536	33963919	0.000000	0.000000	0.000000
ENSMUSG00000099382	Gm28631	1	-	34002433	34002766	0.000000	0.000000	0.000000
ENSMUSG00000084506	Gm23792	1	-	34020491	34020583	0.000000	0.000000	0.000000
ENSMUSG00000103364	Gm38157	1	+	34071181	34072878	0.000000	0.000000	0.000000
ENSMUSG00000105982	Mir6896	1	+	34156440	34156512	0.000000	0.000000	0.000000
ENSMUSG00000096992	Gm26788	1	-	34204937	34217527	0.013417	0.002283	0.004863
ENSMUSG00000103001	A930005N03Rik	1	-	34308963	34310209	0.000000	0.000000	0.000000
ENSMUSG00000037509	Arhgef4	1	+	34717269	34852390	1.134281	2.398657	5.109731
ENSMUSG00000102537	Gm37224	1	+	34791856	34792003	0.000000	0.000000	0.000000
ENSMUSG00000102612	Gm37845	1	+	34792204	34792558	0.000000	0.000000	0.000000
ENSMUSG00000118272	Gm55978	1	+	34840875	34841045	0.085269	0.010365	0.022080
ENSMUSG00000104002	Gm38336	1	-	34848441	34850989	0.164296	0.019971	0.042543
ENSMUSG00000037503	Fam168b	1	-	34852300	34882146	216.011246	28.581048	60.884687
ENSMUSG00000104358	Gm37127	1	+	34862606	34865641	0.000000	0.000000	0.000000
ENSMUSG00000103548	Gm37670	1	-	35008708	35008936	4.349345	0.528686	1.126231
ENSMUSG00000026123	Plekhb2	1	+	34889057	34918661	52.091153	35.258273	75.108823
ENSMUSG00000045216	Hs6st1	1	+	36107481	36145527	40.291230	7.300414	15.551683
ENSMUSG00000104523	Gm37335	1	-	36144465	36145527	0.000000	0.000000	0.000000
ENSMUSG00000037470	Uggt1	1	-	36179108	36283801	97.383568	17.796070	37.910022
ENSMUSG00000098752	Mir6897	1	-	36183333	36183394	0.000000	0.000000	0.000000
ENSMUSG00000047180	Neurl3	1	-	36303678	36313760	19.172521	3.031636	6.458132
ENSMUSG00000037447	Arid5a	1	+	36346814	36363110	5.418820	2.931434	6.244677
ENSMUSG00000010453	Kansl3	1	-	36374811	36408262	70.237989	13.198679	28.116444
ENSMUSG00000098680	Mir6898	1	-	36387763	36387839	0.000000	0.000000	0.000000
ENSMUSG00000037432	Fer1l5	1	+	36411372	36461191	0.560755	0.068605	0.146146
ENSMUSG00000001143	Lman2l	1	-	36458952	36484352	35.979872	10.730057	22.857670
ENSMUSG00000037408	Cnnm4	1	+	36510701	36547845	33.305040	4.322562	9.208123
ENSMUSG00000104316	Gm37909	1	+	36513033	36515191	0.000000	0.000000	0.000000
ENSMUSG00002075980	Gm56056	1	+	36545643	36545783	0.028084	0.003414	0.007272
ENSMUSG00000001138	Cnnm3	1	+	36550948	36567318	25.638476	4.283760	9.125465
ENSMUSG00000102845	Gm38033	1	-	36566615	36567318	0.000000	0.000000	0.000000
ENSMUSG00000067653	Ankrd23	1	-	36569269	36575964	1.466444	0.239353	0.509881
ENSMUSG00000109510	Gm42417	1	-	36569274	36578510	0.000000	0.000000	0.000000
ENSMUSG00000079610	Ankrd39	1	-	36576588	36586526	12.511603	3.761578	8.013090
ENSMUSG00000026116	Tmem131	1	-	36831272	36982747	42.457990	8.230370	17.532720
ENSMUSG00000103016	Gm37506	1	-	36910984	36911126	0.000000	0.000000	0.000000
ENSMUSG00000102930	Gm38115	1	-	36952682	36955620	0.000000	0.000000	0.000000
ENSMUSG00000103159	F830112A20Rik	1	-	36961878	36965429	0.000000	0.000000	0.000000
ENSMUSG00000026121	Sema4c	1	-	36587720	36597430	33.031559	5.088014	10.838725
ENSMUSG00000087589	D430040D24Rik	1	+	36596782	36604694	1.258676	0.220125	0.468921
ENSMUSG00000046337	Fam178b	1	-	36601773	36722264	0.000000	0.000000	0.000000
ENSMUSG00000089906	Gm6428	1	+	36640883	36641227	1.553623	0.188851	0.402299
ENSMUSG00002075377	Gm56095	1	+	36703046	36703120	0.000000	0.000000	0.000000
ENSMUSG00000061518	Cox5b	1	+	36730530	36732762	797.298833	181.576810	386.803418
ENSMUSG00000037351	Actr1b	1	-	36737195	36753503	260.308121	44.744252	95.316300
ENSMUSG00000102416	4933424G06Rik	1	+	36749230	36797034	0.084973	0.052963	0.112825
ENSMUSG00000104237	Gm33533	1	-	36778129	36783873	0.000000	0.000000	0.000000
ENSMUSG00000026117	Zap70	1	+	36800879	36821899	0.069994	0.070255	0.149661
ENSMUSG00000097291	Gm18828	1	-	36803944	36804955	0.000000	0.000000	0.000000
ENSMUSG00000080054	Rpl12-ps1	1	-	36997011	36997508	45.455176	5.525314	11.770282
ENSMUSG00000119706	n-R5s210	1	+	37044520	37044638	0.000000	0.000000	0.000000
ENSMUSG00000050122	Vwa3b	1	+	37065677	37226694	0.000000	0.000000	0.000000
ENSMUSG00000103603	Gm37020	1	-	37171354	37172345	0.000000	0.000000	0.000000
ENSMUSG00000026113	Inpp4a	1	+	37338946	37449817	7.105335	2.282804	4.862935
ENSMUSG00000086064	4930439A04Rik	1	-	37368748	37373253	0.000000	0.000000	0.000000
ENSMUSG00000102879	Gm37135	1	-	37370052	37370585	0.000000	0.000000	0.000000
ENSMUSG00000026112	Coa5	1	-	37456165	37469184	99.215709	16.297149	34.716950
ENSMUSG00000026111	Unc50	1	+	37469220	37478205	170.103863	29.957762	63.817426
ENSMUSG00000026110	Mgat4a	1	-	37478421	37580097	7.348187	1.628953	3.470071
ENSMUSG00000103948	4930594C11Rik	1	-	37524932	37527686	0.464247	0.056432	0.120213
ENSMUSG00000087233	Gm43213	1	-	37526274	37528063	0.000000	0.000000	0.000000
ENSMUSG00000060771	Tsga10	1	-	37793857	37905510	3.925147	1.604565	3.418120
ENSMUSG00000097268	Gm26805	1	+	37904380	37910469	0.218517	0.026562	0.056583
ENSMUSG00000037216	Lipt1	1	+	37910819	37915309	7.501042	2.858899	6.090161
ENSMUSG00000026088	Mitd1	1	-	37913882	37929492	38.104353	13.887402	29.583594
ENSMUSG00000026087	Mrpl30	1	+	37929558	37937616	142.777442	62.135699	132.364374
ENSMUSG00000026080	Chst10	1	-	38902948	38937242	0.000000	0.000000	0.000000
ENSMUSG00000103647	Gm37707	1	+	38923835	38927153	0.000000	0.000000	0.000000
ENSMUSG00000102447	Gm6621	1	+	38947026	38947797	1.222798	0.148637	0.316635
ENSMUSG00000058407	Txndc9	1	-	38024270	38036974	66.459850	26.819332	57.131795
ENSMUSG00000026083	Eif5b	1	+	38037091	38094660	105.784393	19.000463	40.475676
ENSMUSG00000026082	Rev1	1	-	38091867	38168882	24.394388	6.941775	14.787695
ENSMUSG00000103804	Gm37062	1	-	38115376	38116386	0.000000	0.000000	0.000000
ENSMUSG00000102716	Gm5099	1	+	38171164	38198973	0.000000	0.000000	0.000000
ENSMUSG00000037138	Aff3	1	-	38216407	38704036	0.776311	0.196282	0.418128
ENSMUSG00000085391	Gm16150	1	+	38274501	38285747	0.000000	0.000000	0.000000
ENSMUSG00000085280	Gm16151	1	+	38346983	38351011	0.000000	0.000000	0.000000
ENSMUSG00000087131	Gm16152	1	+	38424030	38433055	0.000000	0.000000	0.000000
ENSMUSG00000102984	Gm34727	1	+	38526600	38527128	0.000000	0.000000	0.000000
ENSMUSG00000026077	Npas2	1	+	39232812	39402317	0.000000	0.000000	0.000000
ENSMUSG00000092553	Gm20428	1	-	39315364	39315646	0.000000	0.000000	0.000000
ENSMUSG00000092563	Gm3617	1	+	39353980	39354534	1.179579	0.143384	0.305443
ENSMUSG00000026078	Pdcl3	1	+	39024689	39036319	231.051018	30.862460	65.744657
ENSMUSG00000103046	Gm37309	1	+	39031759	39033397	2.801098	0.340488	0.725324
ENSMUSG00000073702	Rpl31	1	+	39406923	39410992	3154.235587	817.511711	1741.501704
ENSMUSG00000003134	Tbc1d8	1	-	39410573	39517836	4.438600	0.637086	1.357151
ENSMUSG00000102607	Gm37265	1	-	39458129	39459013	0.000000	0.000000	0.000000
ENSMUSG00000003135	Cnot11	1	+	39574073	39585970	84.320982	11.188848	23.835007
ENSMUSG00000085894	Gm15832	1	-	39586651	39591083	2.825033	0.343398	0.731521
ENSMUSG00000077704	Snord89	1	-	39587826	39587935	3.390909	0.412183	0.878051
ENSMUSG00000048234	Rnf149	1	-	39590377	39616486	158.321890	22.271646	47.444103
ENSMUSG00000064936	Gm23722	1	-	39612827	39612956	0.000000	0.000000	0.000000
ENSMUSG00000026072	Il1r1	1	+	40264240	40356417	16.184664	8.364988	17.819488
ENSMUSG00000103560	Gm38070	1	+	40277180	40283659	0.000000	0.000000	0.000000
ENSMUSG00000026069	Il1rl1	1	+	40468730	40504575	0.964302	0.235338	0.501329
ENSMUSG00000026068	Il18rap	1	+	40554522	40590865	3.226303	0.609707	1.298826
ENSMUSG00000104441	Gm35801	1	-	40611348	40619822	0.000000	0.000000	0.000000
ENSMUSG00000026065	Slc9a4	1	+	40619241	40669885	0.457544	0.080335	0.171133
ENSMUSG00000102676	Gm37435	1	-	40622055	40626001	0.000000	0.000000	0.000000
